"Front","Back","Why","When","Tradeoffs","Trap","Scenario","Tags","IntrinsicDifficulty"
"What is write amplification?","Multiple writes caused by a single logical write.","Impacts storage and performance.","In LSM trees and indexes.","Increases IO cost.","Ignoring storage impact.","High write workload DB.","database storage","4"
"What is a read-heavy vs write-heavy system?","Read-heavy systems prioritize fast reads; write-heavy prioritize ingestion.","Impacts DB design.","When choosing storage systems.","Optimizing one hurts the other.","Not identifying workload type.","Analytics vs logging system.","database design","3"
"What is partition pruning?","Skipping irrelevant partitions during query.","Improves performance.","When partitioning large tables.","Requires correct partition keys.","Poor partition strategy.","Time-based partitioning.","database scaling","4"
"What is a hot partition?","A partition receiving disproportionate traffic.","Causes performance bottlenecks.","When sharding or partitioning.","Requires rebalancing.","Bad shard key choice.","UserId-based shard skew.","database scaling","4"
"What is schema migration?","Changing DB structure over time.","Supports evolving systems.","When adding features.","Risk of downtime.","Not planning backward compatibility.","Adding new column to large table.","database operations","3"
"What is optimistic locking?","Allows concurrent updates but checks conflicts before commit.","Improves performance vs locking.","When contention is low.","Requires retry logic.","Assuming no conflicts occur.","Updating shared resource.","database concurrency","3"
"What is pessimistic locking?","Locks resources during transaction.","Prevents conflicts.","When contention is high.","Reduces concurrency.","Overusing locks.","Bank account updates.","database concurrency","4"
"What is a slow query log?","Logs queries exceeding time threshold.","Helps identify performance issues.","When tuning DB.","Adds logging overhead.","Ignoring logs.","Debugging production DB.","database performance","2"
"What is query batching?","Grouping multiple queries into one operation.","Improves efficiency.","When handling many small queries.","Increases complexity.","Not batching network calls.","Bulk inserts.","database performance","3"
"What is connection pooling?","Reusing DB connections.","Improves performance.","When handling many requests.","Pool exhaustion risk.","Opening connections per request.","High traffic API.","database performance","3"
"What is a surrogate key?","Artificial unique identifier.","Simplifies relationships.","When natural keys are complex.","Adds abstraction.","Using wrong key strategy.","User ID generation.","database design","2"
"What is a natural key?","Real-world attribute used as key.","Improves meaning.","When stable unique fields exist.","Can change over time.","Using unstable keys.","Email as primary key.","database design","2"
"What is a database cursor?","Pointer to query result set.","Used for row-by-row processing.","When processing large datasets.","Slower than set-based queries.","Overusing cursors.","Batch processing records.","database processing","3"
"What is index selectivity?","How unique index values are.","High selectivity improves performance.","When designing indexes.","Low selectivity reduces usefulness.","Indexing low-cardinality columns.","Boolean column index.","database indexing","3"
"What is a bitmap index?","Efficient for low-cardinality data.","Used in analytics.","When columns have few distinct values.","Not good for high updates.","Using in OLTP systems.","Gender column indexing.","database indexing","4"
"What is data skew?","Uneven data distribution.","Causes performance imbalance.","In partitioned systems.","Requires rebalancing.","Ignoring distribution.","Hot key in system.","database scaling","4"
"What is a transaction log?","Records all changes for recovery.","Ensures durability.","When recovering DB.","Consumes storage.","Ignoring log growth.","Crash recovery.","database reliability","3"
"What is a checkpoint?","Flushes data to disk.","Improves recovery time.","During DB operations.","Impacts performance.","Too frequent checkpoints.","DB crash recovery.","database reliability","3"
"What is horizontal vs vertical scaling?","Horizontal scaling adds more machines; vertical scaling increases resources of a single machine.","Scaling strategy determines system limits and cost.","When designing systems expecting growth.","Horizontal adds complexity; vertical has hard limits.","Assuming vertical scaling is enough long-term.","Scaling a web service under traffic growth.","system-design scaling","3"
"What is load balancing?","Distributing traffic across multiple servers.","Prevents overload and improves availability.","When multiple service instances exist.","Adds latency and infrastructure complexity.","Assuming round-robin is always sufficient.","Handling spikes in API traffic.","system-design load-balancing","3"
"What is a CDN?","A Content Delivery Network caches content closer to users.","Reduces latency and origin load.","For static assets and global users.","Cache invalidation complexity.","Using CDN for dynamic personalized data incorrectly.","Serving images globally.","system-design performance","2"
"What is eventual consistency?","System guarantees data will become consistent over time.","Improves availability and scalability.","When strict consistency isn't required.","Temporary stale reads.","Expecting immediate consistency.","Reading recently updated data.","distributed-systems consistency","4"
"What is strong consistency?","All reads return the latest write.","Ensures correctness.","When data accuracy is critical.","Higher latency and reduced availability.","Overusing in high-scale systems.","Financial transactions.","distributed-systems consistency","4"
"What is a cache aside pattern?","Application loads data into cache on demand.","Improves read performance.","When reads dominate.","Cache misses still hit DB.","Forgetting cache invalidation.","User profile caching.","system-design caching","3"
"What is write-through cache?","Writes go to cache and DB simultaneously.","Keeps cache consistent.","When read-after-write consistency is needed.","Higher write latency.","Assuming cache is always faster.","Updating frequently accessed data.","system-design caching","3"
"What is write-back cache?","Writes go to cache first, then DB asynchronously.","Improves write performance.","When latency is critical.","Risk of data loss.","Not handling cache failures.","Logging system writes.","system-design caching","4"
"What is rate limiting?","Restricting number of requests per client.","Protects system from abuse.","Public APIs.","Can block legitimate traffic.","Poor limit configuration.","API throttling.","system-design reliability","3"
"What is circuit breaker?","Stops calls to failing service temporarily.","Prevents cascading failures.","When dependencies are unreliable.","Adds complexity.","Not tuning thresholds properly.","Downstream service outage.","system-design resilience","4"
"What is retry logic?","Re-attempting failed operations.","Improves reliability.","Transient failures.","Can amplify load.","Retry storms.","Network timeout handling.","system-design resilience","3"
"What is idempotency in APIs?","Repeated requests produce same result.","Prevents duplicate side effects.","Payments, retries.","Requires unique identifiers.","Ignoring duplicate requests.","Payment processing.","system-design api","3"
"What is sharding?","Splitting data across multiple databases.","Improves scalability.","Large datasets.","Complex queries across shards.","Bad shard key.","User-based partitioning.","system-design scaling","4"
"What is replication?","Copying data across nodes.","Improves availability.","Read scaling.","Consistency challenges.","Assuming replicas are always fresh.","Primary-replica DB.","distributed-systems replication","3"
"What is leader-follower architecture?","One node handles writes, others replicate.","Simplifies consistency.","Databases.","Failover complexity.","Leader bottleneck.","Primary DB setup.","distributed-systems architecture","3"
"What is quorum?","Minimum nodes required for operation.","Balances consistency and availability.","Distributed systems.","Latency overhead.","Misconfiguring quorum.","Distributed DB reads.","distributed-systems consistency","4"
"What is CAP theorem?","System can only guarantee two of Consistency, Availability, Partition tolerance.","Guides system tradeoffs.","Distributed systems.","Oversimplification.","Ignoring real-world nuance.","Designing distributed DB.","distributed-systems theory","4"
"What is backpressure?","System slows input when overwhelmed.","Prevents overload.","Streaming systems.","Throughput reduction.","Ignoring system limits.","Message queue consumer.","system-design resilience","4"
"What is fan-out?","One request triggers multiple downstream calls.","Increases parallelism.","Aggregators.","Increases complexity.","Overloading downstream.","API gateway calls.","system-design architecture","3"
"What is fan-in?","Combining multiple inputs into one output.","Aggregates results.","Data pipelines.","Latency bottleneck.","Waiting on slow services.","Search aggregation.","system-design architecture","3"
"What is API gateway?","Single entry point for services.","Handles routing and auth.","Microservices.","Adds latency.","Overloading gateway.","Public APIs.","system-design architecture","3"
"What is service discovery?","Finding service instances dynamically.","Supports scaling.","Microservices.","Requires infrastructure.","Hardcoding endpoints.","Dynamic scaling system.","system-design architecture","4"
"What is blue-green deployment?","Two environments switch traffic.","Enables safe releases.","Deployments.","Cost overhead.","Data sync issues.","Production release.","devops deployment","3"
"What is canary deployment?","Gradual rollout to subset of users.","Reduces risk.","Feature releases.","Monitoring required.","Ignoring metrics.","New feature rollout.","devops deployment","3"
"What is sticky session?","User tied to same server.","Maintains session state.","Stateful apps.","Reduces scalability.","Session loss on failure.","User login sessions.","system-design load-balancing","3"
"What is stateless architecture?","No server-side session storage.","Improves scalability.","Modern APIs.","External state needed.","Ignoring session handling.","REST APIs.","system-design architecture","3"
"What is data partitioning?","Splitting data into segments.","Improves performance.","Large datasets.","Complex joins.","Poor partition key.","Time-based data.","database scaling","3"
"What is a message queue?","Asynchronous communication between services.","Decouples systems.","Event-driven systems.","Eventual consistency.","Message loss handling.","Order processing.","system-design messaging","3"
"What is exactly-once delivery?","Message processed only once.","Ensures correctness.","Financial systems.","Complex to implement.","Assuming it's easy.","Payment processing.","distributed-systems messaging","5"
"What is at-least-once delivery?","Message processed one or more times.","Ensures delivery.","Most systems.","Duplicates possible.","Not handling duplicates.","Queue processing.","distributed-systems messaging","3"
"What is split brain in distributed systems?","Split brain occurs when network partition causes multiple nodes to believe they are the leader.","Leads to data inconsistency and corruption.","Leader-based systems under partition.","Requires quorum or fencing tokens.","Ignoring partition scenarios.","Cluster losing connectivity between nodes.","distributed-systems failure","5"
"What is a fencing token?","A monotonically increasing token used to prevent stale writes from old leaders.","Prevents split-brain corruption.","Leader election systems.","Requires coordination system.","Relying only on locks.","Distributed lock service.","distributed-systems concurrency","5"
"What is monotonic reads consistency?","Guarantees reads never go backwards in time for a client.","Improves user experience.","Session-based systems.","Does not ensure latest data.","Assuming global consistency.","User timeline reads.","distributed-systems consistency","4"
"What is read-your-writes consistency?","Ensures a user sees their own updates immediately.","Improves UX correctness.","User-facing apps.","Requires session tracking.","Assuming replicas sync instantly.","Profile update flow.","distributed-systems consistency","4"
"What is causal consistency?","Preserves order of related operations.","Maintains logical correctness.","Collaborative apps.","Hard to implement.","Confusing with strong consistency.","Chat applications.","distributed-systems consistency","5"
"What is vector clock?","Tracks causality between distributed events.","Helps resolve conflicts.","Eventually consistent systems.","Storage overhead.","Using timestamps instead.","Conflict resolution in DB.","distributed-systems algorithms","5"
"What is Lamport timestamp?","Logical clock ordering events in distributed systems.","Provides partial ordering.","Event sequencing.","No causality guarantee.","Assuming total ordering.","Distributed logging.","distributed-systems algorithms","4"
"What is gossip protocol?","Nodes share state information randomly with peers.","Enables scalable state propagation.","Large clusters.","Eventual convergence.","Assuming instant consistency.","Cluster membership.","distributed-systems communication","4"
"What is consistent hashing ring?","Maps keys and nodes onto a circular space.","Minimizes rebalancing.","Distributed caches.","Hotspots possible.","Ignoring virtual nodes.","Cache cluster scaling.","distributed-systems scaling","4"
"What are virtual nodes?","Multiple logical nodes per physical node in hashing.","Balances load better.","Distributed systems.","Increases complexity.","Using single node mapping.","Load balancing uneven clusters.","distributed-systems scaling","4"
"What is anti-entropy?","Process of reconciling divergent replicas.","Ensures eventual consistency.","Replicated systems.","Network overhead.","Ignoring reconciliation.","Data sync across nodes.","distributed-systems consistency","4"
"What is hinted handoff?","Temporary storage of writes when node is down.","Improves availability.","Eventually consistent DBs.","Data delay.","Forgetting replay.","Node recovery.","distributed-systems availability","4"
"What is read repair?","Fixing inconsistent replicas during reads.","Maintains data correctness.","Distributed DB reads.","Adds latency.","Relying only on background repair.","Serving stale data.","distributed-systems consistency","4"
"What is write amplification?","More writes occur than expected due to system design.","Impacts performance.","LSM trees.","Higher IO cost.","Ignoring compaction effects.","Storage engine tuning.","database internals","4"
"What is quorum write?","Write must be acknowledged by majority of nodes.","Improves consistency.","Distributed DB.","Higher latency.","Misconfiguring quorum size.","Critical data writes.","distributed-systems consistency","4"
"What is leaderless replication?","No single leader; writes go to multiple nodes.","Improves availability.","Dynamo-style systems.","Conflict resolution required.","Assuming no conflicts.","NoSQL systems.","distributed-systems architecture","5"
"What is conflict resolution strategy?","Rules for resolving divergent data versions.","Ensures correctness.","Eventually consistent DBs.","May lose data.","Using last-write blindly.","Concurrent updates.","distributed-systems consistency","4"
"What is last-write-wins?","Latest timestamp overwrites older data.","Simple conflict resolution.","Low-conflict systems.","Data loss risk.","Clock skew issues.","Concurrent updates.","distributed-systems consistency","4"
"What is clock skew?","Difference in system clocks across nodes.","Affects ordering.","Distributed systems.","Leads to inconsistency.","Ignoring time sync.","Timestamp-based systems.","distributed-systems reliability","5"
"What is NTP?","Protocol to sync system clocks.","Reduces clock drift.","Distributed systems.","Not perfectly accurate.","Assuming perfect sync.","Server clusters.","distributed-systems infrastructure","3"
"What is distributed lock?","Lock shared across multiple nodes.","Prevents race conditions.","Shared resources.","Complex failure handling.","Assuming lock never fails.","Resource coordination.","distributed-systems concurrency","5"
"What is lease-based locking?","Lock expires after time period.","Prevents deadlock.","Distributed systems.","Requires clock sync.","Ignoring expiration.","Leader election.","distributed-systems concurrency","5"
"What is thundering herd problem?","Many clients retry simultaneously causing overload.","Degrades system performance.","Cache expiry.","Retry storms.","No jitter in retries.","Cache miss spike.","system-design resilience","4"
"What is jitter in retries?","Random delay added to retries.","Prevents synchronized retries.","Distributed systems.","Adds latency.","Using fixed retry intervals.","Retry logic.","system-design resilience","3"
"What is exponential backoff?","Retry delay increases exponentially.","Reduces system load.","Transient failures.","Slower recovery.","No cap on retries.","Network errors.","system-design resilience","3"
"What is tail latency?","High percentile latency (e.g., p99).","Impacts user experience.","Distributed systems.","Often ignored.","Focusing only on averages.","Slow API calls.","system-design performance","4"
"What is hedged request?","Duplicate request sent to reduce latency.","Improves tail latency.","Critical systems.","Increases load.","Overusing requests.","Search systems.","system-design performance","5"
"What is bulkhead isolation?","Separates resources to limit failure impact.","Improves resilience.","Microservices.","Resource overhead.","Sharing everything.","Service isolation.","system-design resilience","4"
"What is zero-downtime deployment?","Deploy without service interruption.","Improves reliability.","Production systems.","Requires orchestration.","Ignoring state changes.","Rolling updates.","devops deployment","3"
"What is rolling deployment?","Gradual replacement of instances.","Reduces risk.","Deployments.","Partial inconsistency.","Not monitoring rollout.","Production deploy.","devops deployment","3"
"What is the difference between a scan and a seek?","A scan reads many or all rows; a seek uses an index to jump directly to matching rows.","Understanding this is critical for query performance.","When analyzing execution plans.","Scans are simpler but slower; seeks require indexes.","Assuming DB always uses indexes.","Query on large table without index.","database performance sql","3"
"What is index selectivity?","Selectivity measures how unique index values are.","High selectivity improves performance.","When designing indexes.","Low selectivity indexes are often ignored.","Indexing boolean columns.","Filtering on status field.","database indexing","3"
"When should you avoid using an index?","Avoid when write performance is critical or column has low selectivity.","Indexes slow writes.","Write-heavy systems.","Reduced insert/update speed.","Over-indexing tables.","Logging system writes.","database performance","3"
"What is a covering index?","Index contains all columns needed by query.","Avoids table lookup.","Read-heavy queries.","Larger index size.","Ignoring index storage cost.","Frequent lookup query.","database indexing","4"
"What is composite index order importance?","Order determines how index is used.","Impacts query efficiency.","Multi-column filters.","Wrong order reduces usefulness.","Assuming order doesn't matter.","Filtering by multiple columns.","database indexing","4"
"What is query cardinality?","Estimated number of rows returned.","Drives execution plan decisions.","Query optimization.","Misestimation leads to bad plans.","Ignoring statistics.","Complex joins.","database performance","4"
"What is a hash join?","Joins using hash table.","Efficient for large datasets.","When no indexes exist.","Memory intensive.","Assuming always fastest.","Large table joins.","database joins","3"
"What is a nested loop join?","Iterates over one table and searches another.","Good for small datasets.","When one table is small.","Poor for large data.","Used unintentionally.","Small lookup joins.","database joins","3"
"What is a merge join?","Joins sorted datasets efficiently.","Fast for sorted inputs.","When indexes exist.","Requires sorted input.","Forgetting sort cost.","Sorted data joins.","database joins","3"
"What is index fragmentation?","Disorder in index pages.","Degrades performance.","Frequent updates.","Requires maintenance.","Ignoring index rebuilds.","Heavy update workload.","database maintenance","3"
"What is database normalization vs denormalization tradeoff?","Normalization improves integrity; denormalization improves performance.","Balance is critical.","Schema design.","Complex joins vs redundancy.","Over-normalizing.","Designing large schema.","database design","4"
"What is phantom read?","New rows appear during transaction.","Occurs in lower isolation levels.","Concurrent transactions.","Requires higher isolation.","Ignoring isolation levels.","Range queries.","database transactions","4"
"What is dirty read?","Reading uncommitted data.","Leads to incorrect results.","Low isolation levels.","Data inconsistency.","Using READ UNCOMMITTED.","Concurrent updates.","database transactions","4"
"What is repeatable read?","Ensures same row data across reads.","Prevents non-repeatable reads.","Transactions.","Doesn't prevent phantom reads.","Assuming full consistency.","Multiple reads of same row.","database transactions","4"
"What is serializable isolation?","Highest isolation level.","Ensures full consistency.","Critical systems.","Performance cost.","Using unnecessarily.","Financial systems.","database transactions","5"
"What is a deadlock detection strategy?","System identifies and resolves deadlocks.","Prevents system freeze.","Concurrent transactions.","Rollback cost.","Ignoring retry logic.","Multiple locks.","database concurrency","4"
"What is optimistic concurrency control?","Assumes conflicts are rare.","Improves performance.","Low contention systems.","Retry needed on conflict.","Ignoring retries.","Version-based updates.","database concurrency","3"
"What is pessimistic concurrency control?","Locks data during transaction.","Prevents conflicts.","High contention.","Reduces concurrency.","Over-locking.","Shared resource updates.","database concurrency","4"
"What is a write-ahead log (WAL)?","Logs changes before applying them.","Ensures durability.","Crash recovery.","Storage overhead.","Ignoring log growth.","DB crash recovery.","database internals","4"
"What is MVCC?","Multi-version concurrency control.","Allows non-blocking reads.","Concurrent systems.","Storage overhead.","Misunderstanding versions.","Postgres concurrency.","database internals","5"
"What is a secondary index?","Index not tied to physical storage order.","Supports flexible queries.","Most DB systems.","Extra storage.","Too many indexes.","Query optimization.","database indexing","2"
"What is a primary key index?","Unique identifier index.","Ensures uniqueness.","Table design.","Rigid structure.","Using unstable keys.","User ID column.","database design","2"
"What is a partial index?","Index on subset of rows.","Improves performance.","Filtered queries.","Limited scope.","Forgetting conditions.","Active users index.","database indexing","4"
"What is a function index?","Index on computed value.","Optimizes complex queries.","Computed columns.","Maintenance overhead.","Ignoring index updates.","Lowercase email search.","database indexing","4"
"What is query caching?","Caching query results.","Improves read performance.","Repeated queries.","Stale data risk.","Over-relying on cache.","Dashboard queries.","database caching","3"
"What is database connection pool exhaustion?","All connections are in use.","Causes failures.","High traffic systems.","Requires tuning.","Ignoring limits.","API spike.","database performance","3"
"What is slow query optimization process?","Analyze plan, indexes, rewrite query.","Improves performance.","Performance issues.","Time-consuming.","Guessing fixes.","Production debugging.","database tuning","4"
"When should you use stored procedures?","When logic belongs close to data.","Improves performance.","Complex DB operations.","Harder to maintain.","Overusing DB logic.","Batch processing.","database sql","3"
"When should you avoid stored procedures?","When logic changes frequently.","Improves flexibility.","Agile systems.","Performance tradeoff.","Putting everything in DB.","Rapid feature changes.","database sql","3"
"What is database schema evolution strategy?","Plan for backward compatibility.","Avoid downtime.","Live systems.","Complex migrations.","Breaking changes.","Rolling updates.","database operations","4"
"What is the difference between a scan and a seek?","A scan reads many or all rows; a seek uses an index to jump directly to matching rows.","Understanding this is critical for query performance.","When analyzing execution plans.","Scans are simpler but slower; seeks require indexes.","Assuming DB always uses indexes.","Query on large table without index.","database performance sql","3"
"What is index selectivity?","Selectivity measures how unique index values are.","High selectivity improves performance.","When designing indexes.","Low selectivity indexes are often ignored.","Indexing boolean columns.","Filtering on status field.","database indexing","3"
"When should you avoid using an index?","Avoid when write performance is critical or column has low selectivity.","Indexes slow writes.","Write-heavy systems.","Reduced insert/update speed.","Over-indexing tables.","Logging system writes.","database performance","3"
"What is a covering index?","Index contains all columns needed by query.","Avoids table lookup.","Read-heavy queries.","Larger index size.","Ignoring index storage cost.","Frequent lookup query.","database indexing","4"
"What is composite index order importance?","Order determines how index is used.","Impacts query efficiency.","Multi-column filters.","Wrong order reduces usefulness.","Assuming order doesn't matter.","Filtering by multiple columns.","database indexing","4"
"What is query cardinality?","Estimated number of rows returned.","Drives execution plan decisions.","Query optimization.","Misestimation leads to bad plans.","Ignoring statistics.","Complex joins.","database performance","4"
"What is a hash join?","Joins using hash table.","Efficient for large datasets.","When no indexes exist.","Memory intensive.","Assuming always fastest.","Large table joins.","database joins","3"
"What is a nested loop join?","Iterates over one table and searches another.","Good for small datasets.","When one table is small.","Poor for large data.","Used unintentionally.","Small lookup joins.","database joins","3"
"What is a merge join?","Joins sorted datasets efficiently.","Fast for sorted inputs.","When indexes exist.","Requires sorted input.","Forgetting sort cost.","Sorted data joins.","database joins","3"
"What is index fragmentation?","Disorder in index pages.","Degrades performance.","Frequent updates.","Requires maintenance.","Ignoring index rebuilds.","Heavy update workload.","database maintenance","3"
"What is database normalization vs denormalization tradeoff?","Normalization improves integrity; denormalization improves performance.","Balance is critical.","Schema design.","Complex joins vs redundancy.","Over-normalizing.","Designing large schema.","database design","4"
"What is phantom read?","New rows appear during transaction.","Occurs in lower isolation levels.","Concurrent transactions.","Requires higher isolation.","Ignoring isolation levels.","Range queries.","database transactions","4"
"What is dirty read?","Reading uncommitted data.","Leads to incorrect results.","Low isolation levels.","Data inconsistency.","Using READ UNCOMMITTED.","Concurrent updates.","database transactions","4"
"What is repeatable read?","Ensures same row data across reads.","Prevents non-repeatable reads.","Transactions.","Doesn't prevent phantom reads.","Assuming full consistency.","Multiple reads of same row.","database transactions","4"
"What is serializable isolation?","Highest isolation level.","Ensures full consistency.","Critical systems.","Performance cost.","Using unnecessarily.","Financial systems.","database transactions","5"
"What is a deadlock detection strategy?","System identifies and resolves deadlocks.","Prevents system freeze.","Concurrent transactions.","Rollback cost.","Ignoring retry logic.","Multiple locks.","database concurrency","4"
"What is optimistic concurrency control?","Assumes conflicts are rare.","Improves performance.","Low contention systems.","Retry needed on conflict.","Ignoring retries.","Version-based updates.","database concurrency","3"
"What is pessimistic concurrency control?","Locks data during transaction.","Prevents conflicts.","High contention.","Reduces concurrency.","Over-locking.","Shared resource updates.","database concurrency","4"
"What is a write-ahead log (WAL)?","Logs changes before applying them.","Ensures durability.","Crash recovery.","Storage overhead.","Ignoring log growth.","DB crash recovery.","database internals","4"
"What is MVCC?","Multi-version concurrency control.","Allows non-blocking reads.","Concurrent systems.","Storage overhead.","Misunderstanding versions.","Postgres concurrency.","database internals","5"
"What is a secondary index?","Index not tied to physical storage order.","Supports flexible queries.","Most DB systems.","Extra storage.","Too many indexes.","Query optimization.","database indexing","2"
"What is a primary key index?","Unique identifier index.","Ensures uniqueness.","Table design.","Rigid structure.","Using unstable keys.","User ID column.","database design","2"
"What is a partial index?","Index on subset of rows.","Improves performance.","Filtered queries.","Limited scope.","Forgetting conditions.","Active users index.","database indexing","4"
"What is a function index?","Index on computed value.","Optimizes complex queries.","Computed columns.","Maintenance overhead.","Ignoring index updates.","Lowercase email search.","database indexing","4"
"What is query caching?","Caching query results.","Improves read performance.","Repeated queries.","Stale data risk.","Over-relying on cache.","Dashboard queries.","database caching","3"
"What is database connection pool exhaustion?","All connections are in use.","Causes failures.","High traffic systems.","Requires tuning.","Ignoring limits.","API spike.","database performance","3"
"What is slow query optimization process?","Analyze plan, indexes, rewrite query.","Improves performance.","Performance issues.","Time-consuming.","Guessing fixes.","Production debugging.","database tuning","4"
"When should you use stored procedures?","When logic belongs close to data.","Improves performance.","Complex DB operations.","Harder to maintain.","Overusing DB logic.","Batch processing.","database sql","3"
"When should you avoid stored procedures?","When logic changes frequently.","Improves flexibility.","Agile systems.","Performance tradeoff.","Putting everything in DB.","Rapid feature changes.","database sql","3"
"What is database schema evolution strategy?","Plan for backward compatibility.","Avoid downtime.","Live systems.","Complex migrations.","Breaking changes.","Rolling updates.","database operations","4"
"What is the difference between EC2 and Lambda?","EC2 provides full control over servers; Lambda runs code without managing servers.","Choosing affects scalability, cost, and operational burden.","When deciding compute strategy.","EC2 gives control but requires management; Lambda is limited but simpler.","Using Lambda for long-running processes.","API backend vs batch job.","aws compute architecture","3"
"When should you use AWS Lambda?","Use Lambda for event-driven, short-lived workloads.","Reduces operational overhead.","When workload is bursty or unpredictable.","Cold starts and execution limits.","Using Lambda for heavy compute.","Processing S3 upload events.","aws lambda","3"
"When should you use EC2 over Lambda?","Use EC2 for long-running or resource-intensive workloads.","Provides flexibility and control.","When workload exceeds Lambda limits.","Requires scaling and maintenance.","Avoiding EC2 due to ops fear.","Running ML workloads.","aws ec2","3"
"What is API Gateway?","Managed service for routing and managing APIs.","Simplifies API exposure.","Microservices architectures.","Adds latency and cost.","Putting business logic in gateway.","Public API entry point.","aws api gateway","3"
"What is S3?","Object storage service for files and blobs.","Highly durable and scalable.","Static assets and backups.","Not suitable for low-latency DB access.","Using S3 as database.","Storing images.","aws s3","2"
"What is CloudFront?","CDN for caching content globally.","Reduces latency.","Global applications.","Cache invalidation complexity.","Serving dynamic data incorrectly.","Static website delivery.","aws cloudfront","3"
"What is DynamoDB?","Managed NoSQL database with low latency.","Highly scalable.","High-throughput workloads.","Limited query flexibility.","Using it like relational DB.","Session storage.","aws dynamodb","3"
"When should you use DynamoDB vs RDS?","Use DynamoDB for scale and RDS for relational needs.","Correct DB choice matters.","When deciding storage.","DynamoDB lacks joins; RDS scales less.","Choosing DynamoDB prematurely.","User data vs transactions.","aws database","4"
"What is RDS?","Managed relational database service.","Simplifies DB operations.","SQL workloads.","Less flexible scaling.","Ignoring read replicas.","Application database.","aws rds","2"
"What is auto scaling?","Automatically adjusts resources based on demand.","Improves resilience.","Variable workloads.","Scaling lag.","Poor scaling rules.","Traffic spikes.","aws scaling","3"
"What is ELB?","Elastic Load Balancer distributes traffic.","Improves availability.","Multiple instances.","Configuration complexity.","Ignoring health checks.","Web app scaling.","aws networking","3"
"What is SQS?","Message queue service.","Decouples services.","Async processing.","Eventual consistency.","Ignoring retries.","Order processing.","aws sqs","3"
"What is SNS?","Pub/sub messaging service.","Broadcasts messages.","Event notifications.","Limited persistence.","Confusing with SQS.","Notification systems.","aws sns","3"
"What is the difference between SNS and SQS?","SNS broadcasts; SQS queues messages.","Different messaging patterns.","Event-driven design.","SNS no persistence; SQS durable.","Using wrong tool.","Event notifications vs processing.","aws messaging","3"
"What is serverless architecture?","Applications without server management.","Improves scalability.","Event-driven systems.","Limited control.","Overusing serverless.","Microservices APIs.","aws architecture","3"
"What is infrastructure as code?","Managing infra via code (e.g., Terraform, CloudFormation).","Improves reproducibility.","Modern DevOps.","Learning curve.","Manual infra changes.","Deploying environments.","aws devops","2"
"What is VPC?","Virtual private cloud network.","Isolates resources.","Secure architectures.","Complex networking.","Ignoring security groups.","Private network setup.","aws networking","3"
"What is a security group?","Virtual firewall for instances.","Controls traffic.","Secure systems.","Misconfiguration risk.","Too open rules.","Restricting access.","aws security","2"
"What is IAM?","Identity and access management.","Controls permissions.","All AWS services.","Complex policies.","Over-permissioning.","User access control.","aws security","3"
