"Front","Back","Why","When","Tradeoffs","Trap","Scenario","Tags","IntrinsicDifficulty"
"What is a covering query?","A covering query is a query whose needed columns are all available from an index, so the database does not have to look up the base table rows.","This matters because avoiding extra lookups can make hot-path queries much faster and more predictable.","Use this idea when optimizing frequently executed read queries that return a small set of columns and need low latency.","A covering index can speed reads significantly, but it makes the index larger, increases maintenance cost on writes, and can encourage over-indexing.","The mistake is trying to cover every query with wide indexes. That is wrong because each extra index column increases storage and write cost. If you overdo it, the whole system pays for a few fast queries.","A user profile lookup endpoint always needs only user_id, display_name, and status.","database sql indexing performance","3"
"What is write amplification?","Write amplification means one logical write causes multiple physical writes internally, often due to index maintenance, WAL activity, compaction, or page splits.","This matters because write-heavy systems can fail performance expectations even when application write volume seems modest.","Use this concept when a database handles heavy ingestion, many indexes, or storage-engine behaviors that multiply write cost.","Features that improve reads, durability, or compaction can increase the number of writes performed internally. The tradeoff is often throughput versus read performance or recovery guarantees.","The mistake is sizing for application writes only. That is wrong because the storage engine may do much more work than your API suggests. If you ignore amplification, disks saturate and write latency spikes.","A high-ingest event system slows down after adding several secondary indexes and stricter durability settings.","database sql storage performance","4"
"What is a read-heavy vs write-heavy system?","A read-heavy system spends most of its load serving reads, while a write-heavy system spends most of its load ingesting or updating data.","This matters because the right schema, index strategy, caching, and database choice depend heavily on workload shape.","Use this distinction early in architecture and query tuning so the system is optimized for what it actually does most.","Read optimization usually means more caching and indexing; write optimization often means fewer indexes, append-friendly storage, or batching. Optimizing one side usually costs the other.","The mistake is tuning without identifying workload shape. That is wrong because strategies that help reads can cripple writes, and vice versa. If you guess wrong, the system feels slow in exactly the place users care about.","A product catalog gets millions of reads per hour, while an audit event system receives constant write bursts.","database sql design performance","3"
"What is partition pruning?","Partition pruning is when the database skips irrelevant partitions because the query filter clearly limits which partitions could contain matching rows.","This matters because large partitioned tables only perform well if queries can avoid touching most partitions.","Use partition pruning when designing or tuning large time-based or range-partitioned tables.","Partitioning improves manageability and can improve reads, but only when filters align with the partition key. Poor query patterns still scan too much data.","The mistake is assuming partitioning automatically makes queries fast. That is wrong because pruning only works when the optimizer can eliminate partitions. If filters are vague or misaligned, you still pay a large scan cost.","A huge events table is partitioned by event_date and queried by recent date range.","database sql partitioning performance","4"
"What is a hot partition?","A hot partition is a partition or shard that receives far more traffic than others, creating localized bottlenecks even when the system is distributed.","This matters because uneven access patterns can destroy the benefits of partitioning or sharding.","Use this concept when choosing partition keys, shard keys, or workload routing for high-scale systems.","A key that groups related data well may also concentrate traffic. Better balance often means more complexity in key choice or data access patterns.","The mistake is choosing a partition key only for logical convenience. That is wrong because a key that looks clean can create traffic hotspots. If one partition gets overloaded, overall scalability collapses.","A tenant-based design puts one massive enterprise customer on a single shard while others stay small.","database distributed scaling","4"
"What is schema migration?","A schema migration is a controlled change to the database structure, such as adding columns, indexes, constraints, or new tables.","This matters because schema changes in production can cause downtime, locking, compatibility issues, or failed deployments if not planned carefully.","Use migrations whenever the application and database need to evolve together over time.","Migrations enable safe evolution, but backward compatibility, rollout order, and runtime impact must be managed carefully.","The mistake is treating schema change as a simple code deploy. That is wrong because production data and running application versions introduce compatibility constraints. If you deploy in the wrong order, the app or migration can fail live traffic.","Adding a non-null column to a large production table used by multiple application versions.","database sql operations","3"
"What is optimistic concurrency control?","Optimistic concurrency control assumes conflicts are relatively rare and detects them at commit time, usually with a version check or timestamp.","This matters because it can preserve throughput without heavy locking when contention is low.","Use it when many users may edit data but simultaneous changes to the same row are uncommon.","It improves concurrency and reduces lock time, but conflicting updates must be retried or rejected cleanly.","The mistake is using optimistic control without a retry or conflict strategy. That is wrong because conflict detection alone does not resolve the user experience. If two updates collide and you do nothing, one silently fails or overwrites intent.","An edit form updates a record using a version column to detect stale writes.","database sql concurrency","3"
"What is pessimistic concurrency control?","Pessimistic concurrency control locks data early because the system assumes conflicts are likely and correctness must be protected during the transaction.","This matters because it prevents conflicting writes at the cost of reduced parallelism and possible blocking.","Use it when contention is high or the cost of conflicting writes is unacceptable.","You gain stronger immediate protection against conflicting updates, but throughput and latency often worsen because threads wait on locks.","The mistake is applying pessimistic locking everywhere for safety. That is wrong because broad locking reduces concurrency and can create deadlocks. If you overuse it, the system becomes correct but slow.","A booking system locks inventory rows while finalizing a scarce reservation.","database sql concurrency","4"
"What is a write-ahead log (WAL)?","A write-ahead log records changes durably before the database considers the data page update committed, enabling crash recovery and durability.","This matters because durability is not magic; the log is one of the core mechanisms that makes committed transactions survive crashes.","Use WAL thinking when discussing durability, crash recovery, replication internals, or write performance.","WAL improves recovery and durability, but it increases write volume and can become a throughput or storage-management concern under heavy load.","The mistake is assuming a successful commit means data only changed once. That is wrong because the database may write to the log and later to data pages. If you ignore WAL behavior, you misunderstand write cost and recovery design.","A database crashes after commit acknowledgment but before dirty pages are flushed fully to disk.","database sql internals durability","4"
"What is MVCC?","MVCC, or multi-version concurrency control, lets readers see a consistent snapshot while writers create newer versions instead of blocking reads immediately.","This matters because many modern databases achieve high read concurrency by avoiding reader-writer blocking through versioned rows.","Use MVCC when reasoning about concurrency behavior in systems like PostgreSQL and other snapshot-based databases.","MVCC improves concurrency and read performance, but it adds version storage, cleanup work, and complexity around vacuuming or garbage collection.","The mistake is thinking MVCC removes all locking problems. That is wrong because writes still conflict, old versions still need cleanup, and long-running transactions can create bloat. If you ignore that, performance degrades over time.","A reporting query runs while a hot transactional workload continues updating the same tables.","database sql internals concurrency","5"
"What is a secondary index?","A secondary index is an index on columns other than the table's primary key, providing alternate access paths to the same data.","This matters because most real workloads need efficient lookup patterns beyond the primary key alone.","Use secondary indexes when queries commonly filter, join, or sort by non-primary-key columns.","Secondary indexes improve read flexibility, but each one adds storage and slows writes because every change must maintain more structures.","The mistake is adding secondary indexes for every query someone asks for. That is wrong because each index has a system-wide cost. If you keep adding them reactively, writes slow down and maintenance grows.","A users table is primarily keyed by id but is frequently searched by email and status.","database sql indexing","2"
"What is a primary key index?","A primary key index enforces uniqueness for the primary identifier and usually serves as the main access path for rows.","This matters because primary key design influences storage order, lookup efficiency, and relationship modeling.","Use a primary key that is stable, unique, and aligned with how the table should be identified across systems.","Natural keys can carry business meaning but may change; surrogate keys are stable but add indirection. The right choice depends on domain stability and integration needs.","The mistake is choosing a primary key only for convenience today. That is wrong because changing a primary key later is painful and affects foreign keys, APIs, and data migrations. If you pick an unstable key, the system carries that pain for years.","Designing identifiers for a customers table that other services will reference.","database sql design keys","2"
"What is a partial index?","A partial index indexes only rows that meet a condition, such as active records or non-null values, instead of the whole table.","This matters because it can target high-value queries while keeping the index smaller and cheaper to maintain.","Use a partial index when queries repeatedly filter on a specific predicate that excludes a large portion of rows.","Partial indexes improve focused query performance, but they only help when query predicates match the indexed condition closely.","The mistake is creating a partial index and assuming all similar queries will use it. That is wrong because the optimizer needs matching predicates. If your query shape drifts, the index may be ignored and you think the database is unpredictable.","An application frequently queries only active users, not archived ones.","database sql indexing performance","4"
"What is a function index?","A function index indexes the result of an expression or function, such as LOWER(email), so computed filters can still use an index.","This matters because queries with expressions often disable normal index usage unless the database has an index on the computed form.","Use a function index when applications consistently search or sort by a transformed value.","Function indexes improve reads for specific patterns, but they increase write cost and tie the schema more closely to query style and database-specific capabilities.","The mistake is assuming a normal index helps queries that wrap the column in a function. That is wrong because many optimizers cannot use the base index after transformation. If you ignore that, you keep wondering why your indexed search still scans.","Users search emails case-insensitively with LOWER(email) = LOWER(?).","database sql indexing","4"
"What is query caching?","Query caching stores the result of a query so repeated identical requests can return quickly without recomputing against the database.","This matters because some read-heavy paths benefit dramatically from caching, but only if freshness and invalidation are understood.","Use query caching when repeated reads ask the same question often and stale tolerance is acceptable or invalidation is manageable.","Caching reduces database load and latency, but it introduces stale-data risk, invalidation complexity, and memory cost.","The mistake is treating cache hits as always correct. That is wrong because cached results can become stale immediately after writes. If you ignore invalidation strategy, users see outdated data and lose trust.","A dashboard repeatedly asks for summary metrics that update only every few minutes.","database sql caching","3"
"What is database connection pool exhaustion?","Connection pool exhaustion happens when all database connections in the pool are busy, so new requests must wait or fail.","This matters because applications often appear 'slow' due to pool starvation even when the database itself is still healthy.","Use this concept when diagnosing latency spikes, timeout storms, or throughput ceilings in database-backed services.","Larger pools can improve concurrency up to a point, but too many connections can also overwhelm the database and increase contention.","The mistake is solving every timeout by raising the pool size. That is wrong because the real issue may be slow queries, leaked connections, or too much concurrency. If you only increase the pool, you often push the bottleneck into the database.","A traffic spike causes API threads to pile up while waiting for DB connections.","database sql performance operations","3"
"What is the slow query optimization process?","The usual process is to inspect the execution plan, check row counts and selectivity, verify indexes and statistics, and then rewrite the query or schema based on evidence.","This matters because systematic tuning fixes root causes, while random changes often move the problem without solving it.","Use this process whenever a query is slow, regresses under data growth, or creates operational pain.","A disciplined tuning workflow takes time and measurement, but it avoids cargo-cult optimizations and one-off hacks.","The mistake is jumping straight to rewrites or hardware upgrades. That is wrong because slow SQL is often caused by one or two identifiable issues such as wrong join order, bad estimates, or missing indexes. If you skip the process, you may spend effort and still miss the real bottleneck.","A monthly report now times out after the business expands into new regions and doubles data volume.","database sql tuning process","4"
"When should you use stored procedures?","Use stored procedures when data-intensive logic benefits from being close to the database, especially for controlled multi-step operations, batching, or carefully optimized routines.","This matters because pushing the right logic closer to the data can reduce network round-trips and centralize critical data operations.","Use stored procedures when the operation is stable, tightly coupled to the schema, and performance-sensitive enough to justify database-side logic.","Stored procedures can improve performance and consistency, but they also increase coupling to the database platform, make versioning harder, and can split business logic across layers.","The mistake is putting business logic into stored procedures just because the database can run code. That is wrong because it can make testing, deployment, and portability much harder. If too much logic lives there, application evolution slows down.","A nightly financial settlement job runs several validated update steps over large datasets.","database sql design","3"
"When should you avoid stored procedures?","Avoid stored procedures when business logic changes frequently, must remain portable across databases, or is easier to test and evolve in the application layer.","This matters because maintainability and deployment complexity can outweigh database-side performance gains.","Avoid them when logic is application-centric, changes often, or the team lacks strong database development practices.","Keeping logic in the application improves portability and developer workflow, but you may lose some performance optimizations or tighter data-local control.","The mistake is assuming stored procedures are always more 'enterprise' or more performant. That is wrong because many workloads are dominated by query shape and indexing, not procedural logic location. If you move too much into the DB, you increase operational friction without solving the real problem.","A product team iterates rapidly on business rules for pricing and eligibility.","database sql architecture","3"
"What is a database schema evolution strategy?","A schema evolution strategy is the plan for changing the database safely over time using backward-compatible migrations, rollout sequencing, and cleanup after old code paths are retired.","This matters because schema changes are one of the easiest ways to break production systems during otherwise normal feature work.","Use a deliberate schema evolution strategy whenever multiple application versions, rolling deploys, or large datasets are involved.","Backward-compatible rollouts are safer but take more steps and discipline. Fast direct changes are simpler short term but much riskier in production.","The mistake is changing schema and code in one tightly coupled step. That is wrong because rolling deployments and long-running jobs mean old and new versions may overlap. If the schema changes are not compatible, deployments fail or live traffic breaks.","Adding a new required field to an orders table while several service instances are still running the old code.","database sql operations deployment","4"
