"Front","Back","Why","Tags","IntrinsicDifficulty"
"What problem does the Facade pattern solve?","Facade provides a simplified high-level interface over a complex subsystem.","It lowers cognitive load for callers and localizes subsystem complexity behind one entry point.","design-patterns architecture facade","2"
"What problem does the Factory pattern solve?","Factory centralizes object creation so callers depend on abstractions instead of concrete construction details.","This supports substitution, testability, and cleaner separation between usage and instantiation.","design-patterns architecture factory","2"
"What problem does the Observer pattern solve?","Observer enables one-to-many notification so dependents react automatically when a subject changes state.","It decouples publishers from subscribers and is common in event-driven and UI architectures.","design-patterns architecture observer","2"
"What problem does the Prototype pattern solve?","Prototype creates new objects by cloning existing configured instances instead of constructing from scratch.","It is useful when setup is expensive or when many similar objects are needed quickly.","design-patterns architecture prototype","2"
"What problem does the Singleton pattern solve?","Singleton enforces a single shared instance with a global access point for process-wide stateful services.","It can simplify shared coordination but should be used carefully to avoid hidden coupling and test pain.","design-patterns architecture singleton","2"
"What problem does the Strategy pattern solve?","Strategy defines interchangeable algorithms behind a shared interface so behavior can vary at runtime.","It removes large conditionals and keeps algorithm-specific logic isolated and testable.","design-patterns architecture strategy","2"
"Why does React Strict Mode double-render in development?","React intentionally invokes render-related paths more than once in development to expose impure rendering side effects.","This catches hidden mutations and non-idempotent logic before production, where they are harder to diagnose.","react debugging","3"
"Why does React use a Virtual DOM?","The virtual DOM lets React batch and optimize UI updates before touching the browser DOM.","That reduces unnecessary layout and paint work, which improves responsiveness as UIs become more dynamic.","react architecture","2"
"Why is caching important in large systems?","Caching cuts repeated expensive work and keeps response times stable under heavy read traffic.","It also reduces pressure on databases and downstream dependencies, improving cost and availability.","system-design architecture caching","3"
"Why is fault tolerance important in large systems?","Fault tolerance keeps services operating despite partial failures in hardware, networks, or dependencies.","Designing for failure reduces downtime and limits blast radius during incidents.","system-design architecture fault-tolerance","4"
"Why is latency important in large systems?","Latency directly impacts user experience and conversion, especially on interactive paths.","Low and predictable latency also prevents cascading timeout failures across dependent services.","system-design architecture latency","4"
"Why is load balancing important in large systems?","Load balancing distributes traffic across healthy instances so no single node becomes a bottleneck.","It improves throughput, failover behavior, and operational safety during deployments.","system-design architecture load-balancing","4"
"Why is microservices important in large systems?","Microservices can improve team autonomy and deployment independence when domains are well-bounded.","The tradeoff is added distributed-system complexity, so the model only helps when scale and org structure justify it.","system-design architecture microservices","4"
"Why is rate limiting important in large systems?","Rate limiting protects services from abuse and accidental overload by bounding request volume.","It preserves fairness and keeps critical paths responsive during spikes.","system-design architecture rate-limiting","4"
"Why is scalability important in large systems?","Scalability lets systems handle growth in users and traffic without unacceptable latency or failure rates.","It protects user experience and avoids expensive emergency rewrites as demand increases.","system-design architecture scalability","4"
"Why is stateless design important in large systems?","Stateless services let any instance handle any request because session state is externalized.","That simplifies autoscaling, failover, and rolling deployments in distributed environments.","system-design architecture stateless-design","4"
"Why is two-phase commit problematic?","2PC can block when the coordinator fails after participants prepare but before a final decision is known.","That coordination bottleneck hurts availability and latency, so many systems prefer eventually consistent patterns.","distributed-systems transactions","5"
"Why should APIs be versioned?","API versioning allows iterative changes without breaking existing clients that depend on older contracts.","It enables safer evolution, controlled migrations, and clearer compatibility guarantees.","api architecture backend","2"
"Why use NoSQL vs relational databases?","NoSQL is often chosen for flexible schemas and horizontal scale, while relational databases excel at joins, constraints, and ACID transactions.","The right choice depends on data model, consistency needs, query patterns, and team operational maturity.","database nosql sql architecture","3"
